Abbreviation,Description
A/A,AIR TO AIR TACAN FUNCTION
A/D,AERODROME
A/F,AUTOFEATHER
A/FD,AIRPORT FACILITY DIRECTORY
A/G,AIRTOGROUND
A/H,ALTITUDE HEIGHT
A/O,AIR OIL
A/P,AUTOPILOT
A/S,ANTI SKID
A/T,AUTOTHROTTLE
A/THR,AUTOTHRUST
A/W,AIRWORTHINESS
AAA,AIRPORT AIRSPACE ANALYSIS
AADC,AIRPORT AVERAGE DAILY CAPACITY
AAE,ABOVE AERODROME ELEVATION
AAI,ARRIVAL AIRCRAFT INTERVAL
AAIM,AIRCRAFT AUTONOMOUS INTEGRITY MONITOR
AAMS,AIRCRAFT ARRIVAL MANAGEMENT SYSTEM
AAO,ASSUMED ADVERSE OBSTACLE
AAP ,AUTOFLT ANNUNCIATOR PANEL
AAS,ADVANCED AUTOMATION SYSTEM
AASR,AGING AIRCRAFT SAFETY RULE
ABDIS,AUTOMATED DATA INTERCHANGE SYSTEM SERVICE
ACAIS,AIR CARRIER ACTIVITY INFORMATION SYSTEM
ACAM,AIRCRAFT CONTINUOUS AIRWORTHINESS MONITOR
ACARS,AIRCRAFT COMMUNICATIONS ADDRESSING AND REPORTING SYSTEM
ACAS,AIRBORNE COLLISION AVOIDANCE SYSTEM
ACD,AUTOMATIC CALL DISTRIBUTOR
ACE,ACTUATOR CONTROL ELECTRONICS
ACFT,AIRCRAFT
ACID,AIRCRAFT IDENTIFICATION
ACLS,AUTOMATIC CARRIER LANDING SYSTEM
ACLT,ACTUAL LANDING TIME CALCULATED
ACM,AIR CYCLE MACHINE
ACMS,AIRCRAFT CONDITION MONITORING SYSTEM
ACP,AUDIO CONTROL PANEL
ACR,AVIONIC COMMUNICATION ROUTER
ACS,AUDIO CONTROL SYSTEM
ACS2,AUDIO CONTROL SYSTEM
ACU,AIR CONDITION UNIT
ADAHRS,AIR DATA ATTITUDE HEADING REFERENCE SYSTEM
ADAS,AUTOMATED WEATHER OBSERVING SYSTEM DATA ACQUISITION SYSTEM
ADC,AIR DATA COMPUTER
ADCCP,ADVANCED DATA COMMUNICATIONS CONTROL PROCEDURE
ADD,ACCEPTABLE DEFERRED DEFECT
ADDA,ADMINISTRATIVE DATA
ADDS,AVIATION DIGITAL DATA SERVICE
ADF,AUTOMATIC DIRECTION FINDER
ADI,ALTITUDE DIRECTOR INDICATOR
ADIC,ATS INTERFACILITY DATA COMMUNICATIONS
ADIN,AUTODIN SERVICE
ADIRS,AIR DATA INERTIAL REFERENCE SYSTEM
ADIRU,AIR DATA INERTIAL REFERENCE UNIT
ADIZ,AIR DEFENSE IDENTIFICATION ZONE
ADJ,ADJUSTMENT
ADL,AERONAUTICAL DATA LINK
ADLY,ARRIVAL DELAY
ADM,AERONAUTICAL DECISION MAKING
ADM,AIR DATA MODULE
ADP,AUTOMATED DATA PROCESSING
ADSIM,AIRFIELD DELAY SIMULATION MODEL
ADSY,ADMINISTRATIVE EQUIPMENT SYSTEM
ADTN,ADMINISTRATIVE DATA TRANSMISSION NETWORK
ADTN2000,ADMINISTRATIVE DATA TRANSMISSION NETWORK
ADVO,ADMINISTRATIVE VOICE
AED,AUTOMATED EXTERNAL DEFIBULATOR
AEDT,AVIATION ENVIRONMENTAL DESIGN TOOL
AESA,ACTIVE ELECTRONICSALLY SCANNED ARRAY
AEX,AUTOMATED EXECUTION
AFCS,AUTOMATIC FLIGHT CONTROL SYSTEM
AFCS ,AUTOFLT CONTROL SYSTEM
AFD,AUTOPILOT FLIGHT DIRECTOR
AFDC,AUTOPILOT FLIGHT DIRECTOR COMPUTER
AFDSS,AIR FIX DATA SUB SET
AFDX,AVIONICS FULL DUPLEX SWITCHED ETHERNET
AFE,ABOVE FIELD ELEVATION
AFER,AIRCRAFT FUEL EXPENSE RECONCILIATION SYSTEM
AFIS,AUTOMATED FLIGHT INSPECTION SYSTEM
AFMS,AUTOMATIC FLIGHT MANAGEMENT SYSTEM
AFP,AREA FLIGHT PLAN
AFTN,AUTOMATED FIXED TELECOMMUNICATIONS NETWORK
AFZ,RESOURCE MANAGEMENT
AGACS,AUTOMATIC GROUND AIR COMMUNICATIONS SYSTEM
AGB,ACCESSORY GEAR BOX
AGC,AUTOMATIC GAIN CONTROL
AGDL,AIR?GROUND DATA LINK
AGHME,AIRCRAFT GEOMETRIC HEIGHT MEASUREMENT ELEMENT
AGL,ABOVE GROUND LEVEL
AHC,ATTITUDE HEADING CONTROL
AHR,FAA OFFICE OF HUMAN RESOURCES
AHRS,ATTITUDE AND HEADING REFERENCE SYSTEM
AHRU,ATTITUDE AND HEADING REFERENCE UNIT
AICS,AIRCRAFT INVENTORY AND CHARTER SYSTEM
AIDS,AIRCRAFT INTEGRATED DATA SYSTEM
AIFSS,AUTOMATED INTERNATIONAL FLIGHT SERVICE
AILS,AUTOMATIC INSTRUMENT LANDING SYSTEM
AIRNAV,AIRPORTS AND NAVIGATION AIDS DATABASE SYSTEM
AIRNET,AIRPORT NETWORK SIMULATION MODEL
AIRPAC,ADVISOR FOR THE INTELLIGENT RESOLUTION OF PREDICTED AIRCRAFT
AIS,AERONAUTICAL INFORMATION SYSTEM
AIT,AUTOMATED INFORMATION TRANSFER
